m,dim,trial,seed,linear,softmax,state_norm
2,8,0,42,0.5,1.0,4.928657675094701
2,8,1,43,1.0,1.0,4.807526714249741
2,8,2,44,0.5,1.0,5.553731341761829
2,8,3,45,0.5,1.0,4.30200033248377
2,8,4,46,1.0,1.0,4.684360573070388
2,8,5,47,0.5,1.0,4.1841768426710955
2,8,6,48,1.0,1.0,6.497595231139776
2,8,7,49,1.0,1.0,5.934794108497159
2,8,8,50,0.5,1.0,4.798413693100951
2,8,9,51,1.0,1.0,5.880064264590854
2,8,10,52,0.5,1.0,5.0958964115713705
2,8,11,53,1.0,1.0,5.557018596690214
2,8,12,54,1.0,1.0,6.13362496114418
2,8,13,55,1.0,1.0,6.77301118940187
2,8,14,56,0.5,1.0,5.171401630921386
2,8,15,57,1.0,1.0,6.150792323151559
2,8,16,58,0.5,0.5,3.100077566051387
2,8,17,59,1.0,1.0,6.352220882988898
2,8,18,60,1.0,1.0,6.848159477709735
2,8,19,61,0.5,1.0,6.6354512511460655
2,8,20,62,0.5,1.0,3.4562998373218825
2,8,21,63,1.0,1.0,8.037317228381445
2,8,22,64,1.0,1.0,4.7667161221241745
2,8,23,65,1.0,1.0,4.96607268145962
2,8,24,66,1.0,1.0,4.663264061933067
4,8,0,42,0.25,1.0,7.857238980651989
4,8,1,43,0.75,1.0,6.587587678792499
4,8,2,44,0.5,1.0,7.9874403574473085
4,8,3,45,0.75,1.0,5.511105369502091
4,8,4,46,0.75,1.0,7.628987177684138
4,8,5,47,0.5,1.0,7.173043838349002
4,8,6,48,0.5,1.0,8.527460502127507
4,8,7,49,0.5,0.75,9.772050300902716
4,8,8,50,0.25,1.0,6.496528433844098
4,8,9,51,0.75,1.0,7.848521542590262
4,8,10,52,0.25,0.75,7.308194436886238
4,8,11,53,0.75,0.5,8.416008230302268
4,8,12,54,0.75,1.0,8.38358820122164
4,8,13,55,0.75,1.0,10.061781479907348
4,8,14,56,0.5,1.0,9.354714024076246
4,8,15,57,0.5,1.0,8.482111405795184
4,8,16,58,0.25,0.75,5.913834598947212
4,8,17,59,0.75,1.0,9.290095938067912
4,8,18,60,0.75,1.0,9.209317907718596
4,8,19,61,0.25,1.0,7.845965371849812
4,8,20,62,0.25,1.0,7.475140329064244
4,8,21,63,0.5,1.0,9.826559083017536
4,8,22,64,0.75,1.0,7.729112034558303
4,8,23,65,0.5,1.0,8.517307003711762
4,8,24,66,0.5,0.75,7.7365317709664065
8,8,0,42,0.375,0.875,10.380967814176715
8,8,1,43,0.125,0.875,10.35380031214544
8,8,2,44,0.125,0.875,11.756264802351113
8,8,3,45,0.375,0.875,9.630963140012858
8,8,4,46,0.125,0.875,10.994520235508213
8,8,5,47,0.125,1.0,11.073132074100478
8,8,6,48,0.25,1.0,12.086705131785747
8,8,7,49,0.125,0.875,12.56525408204697
8,8,8,50,0.25,1.0,11.019659886725508
8,8,9,51,0.125,1.0,11.747625380726268
8,8,10,52,0.125,0.75,12.029058023190277
8,8,11,53,0.125,0.75,12.056060352534526
8,8,12,54,0.125,1.0,11.387673480154481
8,8,13,55,0.25,1.0,13.90400437329224
8,8,14,56,0.25,0.875,11.518847447699738
8,8,15,57,0.375,0.75,10.425694301136417
8,8,16,58,0.375,0.875,10.649803921814838
8,8,17,59,0.375,0.875,11.513483749921344
8,8,18,60,0.25,1.0,11.896145962945388
8,8,19,61,0.375,0.625,11.385978037962351
8,8,20,62,0.125,1.0,11.022486441307766
8,8,21,63,0.375,0.875,13.382877040567868
8,8,22,64,0.25,0.875,13.509484599782532
8,8,23,65,0.125,0.875,12.874263924033288
8,8,24,66,0.125,0.875,10.798089938962125
16,8,0,42,0.0625,0.4375,18.299269799439127
