N,position_frac,trial,linear,softmax
128,0.1,0,1.0,1.0
128,0.1,1,1.0,1.0
128,0.1,2,1.0,1.0
128,0.1,3,1.0,1.0
128,0.1,4,1.0,1.0
128,0.1,5,1.0,1.0
128,0.1,6,1.0,1.0
128,0.1,7,1.0,1.0
128,0.1,8,1.0,1.0
128,0.1,9,1.0,1.0
128,0.5,0,1.0,1.0
128,0.5,1,1.0,1.0
128,0.5,2,1.0,1.0
128,0.5,3,1.0,1.0
128,0.5,4,1.0,1.0
128,0.5,5,1.0,1.0
128,0.5,6,1.0,1.0
128,0.5,7,1.0,1.0
128,0.5,8,1.0,1.0
128,0.5,9,1.0,1.0
128,0.9,0,1.0,1.0
128,0.9,1,1.0,1.0
128,0.9,2,1.0,1.0
128,0.9,3,1.0,1.0
128,0.9,4,1.0,1.0
128,0.9,5,1.0,1.0
128,0.9,6,1.0,1.0
128,0.9,7,1.0,1.0
128,0.9,8,1.0,1.0
128,0.9,9,1.0,1.0
512,0.1,0,1.0,1.0
512,0.1,1,1.0,1.0
512,0.1,2,1.0,1.0
512,0.1,3,1.0,1.0
512,0.1,4,1.0,1.0
512,0.1,5,1.0,1.0
512,0.1,6,1.0,1.0
512,0.1,7,1.0,1.0
512,0.1,8,1.0,1.0
512,0.1,9,1.0,1.0
512,0.5,0,1.0,1.0
512,0.5,1,1.0,1.0
512,0.5,2,1.0,1.0
512,0.5,3,1.0,1.0
512,0.5,4,1.0,1.0
512,0.5,5,1.0,1.0
512,0.5,6,1.0,1.0
512,0.5,7,1.0,1.0
512,0.5,8,1.0,1.0
512,0.5,9,1.0,1.0
512,0.9,0,1.0,1.0
512,0.9,1,1.0,1.0
512,0.9,2,1.0,1.0
512,0.9,3,1.0,1.0
512,0.9,4,1.0,1.0
512,0.9,5,1.0,1.0
512,0.9,6,1.0,1.0
512,0.9,7,1.0,1.0
512,0.9,8,1.0,1.0
512,0.9,9,1.0,1.0
1024,0.1,0,1.0,1.0
1024,0.1,1,1.0,1.0
1024,0.1,2,1.0,1.0
1024,0.1,3,0.0,1.0
1024,0.1,4,1.0,1.0
1024,0.1,5,1.0,1.0
1024,0.1,6,1.0,1.0
1024,0.1,7,1.0,1.0
1024,0.1,8,1.0,1.0
1024,0.1,9,1.0,1.0
1024,0.5,0,1.0,1.0
1024,0.5,1,1.0,1.0
1024,0.5,2,1.0,1.0
1024,0.5,3,0.0,1.0
1024,0.5,4,1.0,1.0
1024,0.5,5,1.0,1.0
1024,0.5,6,1.0,1.0
1024,0.5,7,1.0,1.0
1024,0.5,8,1.0,1.0
1024,0.5,9,1.0,1.0
1024,0.9,0,1.0,1.0
1024,0.9,1,1.0,1.0
1024,0.9,2,1.0,1.0
1024,0.9,3,0.0,1.0
1024,0.9,4,1.0,1.0
1024,0.9,5,1.0,1.0
1024,0.9,6,1.0,1.0
1024,0.9,7,1.0,1.0
1024,0.9,8,1.0,1.0
1024,0.9,9,1.0,1.0
4096,0.1,0,1.0,1.0
4096,0.1,1,0.0,1.0
4096,0.1,2,0.0,1.0
4096,0.1,3,0.0,1.0
4096,0.1,4,1.0,1.0
4096,0.1,5,0.0,1.0
4096,0.1,6,0.0,1.0
4096,0.1,7,1.0,1.0
4096,0.1,8,1.0,1.0
4096,0.1,9,0.0,1.0
4096,0.5,0,1.0,1.0
4096,0.5,1,0.0,1.0
4096,0.5,2,0.0,1.0
4096,0.5,3,0.0,1.0
4096,0.5,4,0.0,1.0
4096,0.5,5,0.0,1.0
4096,0.5,6,0.0,1.0
4096,0.5,7,1.0,1.0
4096,0.5,8,1.0,1.0
4096,0.5,9,0.0,1.0
4096,0.9,0,1.0,1.0
4096,0.9,1,0.0,1.0
4096,0.9,2,0.0,1.0
4096,0.9,3,0.0,1.0
4096,0.9,4,1.0,1.0
4096,0.9,5,0.0,1.0
4096,0.9,6,0.0,1.0
4096,0.9,7,1.0,1.0
4096,0.9,8,1.0,1.0
4096,0.9,9,0.0,1.0
