m,dim,trials,feature_map,precision,linear_mean,linear_std,softmax_mean,softmax_std,state_norm_mean,runtime_s,seed,experiment
2,16,10,elu+1,float64,1.0,0.0,1.0,0.0,7.562542543669269,0.015146199992159382,42,seed_robustness
4,16,10,elu+1,float64,0.7,0.2581988897471611,1.0,0.0,10.816416818861414,0.01023929999792017,42,seed_robustness
8,16,10,elu+1,float64,0.3875,0.13756311682682648,1.0,0.0,15.89899598436981,0.00539310000021942,42,seed_robustness
16,16,10,elu+1,float64,0.1,0.06038073644245599,0.98125,0.030190368221227993,22.837658239205023,0.024019500007852912,42,seed_robustness
32,16,10,elu+1,float64,0.040625,0.015095184110613998,0.465625,0.031075903937867286,41.80314882953756,0.04546989998198114,42,seed_robustness
64,16,10,elu+1,float64,0.0171875,0.004941058844013093,0.19375,0.030547663122114956,78.57450559779016,0.14250399998854846,42,seed_robustness
128,16,10,elu+1,float64,0.00859375,0.0024705294220065464,0.084375,0.01265099770988658,152.57998586456748,0.519175900000846,42,seed_robustness
2,16,10,elu+1,float64,1.0,0.0,1.0,0.0,7.632666290801457,0.002834699989762157,43,seed_robustness
4,16,10,elu+1,float64,0.7,0.25819888974716115,1.0,0.0,10.963327453779389,0.010321500012651086,43,seed_robustness
8,16,10,elu+1,float64,0.35,0.1536590742882148,1.0,0.0,16.16474626615088,0.005820799997309223,43,seed_robustness
16,16,10,elu+1,float64,0.10625,0.059292706128157104,0.975,0.03227486121839514,22.93437319813605,0.027453199989395216,43,seed_robustness
32,16,10,elu+1,float64,0.040625,0.015095184110613996,0.465625,0.03107590393786729,41.916117353153176,0.03922249999595806,43,seed_robustness
64,16,10,elu+1,float64,0.0171875,0.004941058844013093,0.1890625,0.027013130166437374,78.61520939917486,0.16147029999410734,43,seed_robustness
128,16,10,elu+1,float64,0.00859375,0.0024705294220065464,0.08515625,0.012994765572786093,153.06007729750291,0.4989950000017416,43,seed_robustness
2,16,10,elu+1,float64,1.0,0.0,1.0,0.0,7.674254495389823,0.003277800016803667,44,seed_robustness
4,16,10,elu+1,float64,0.65,0.24152294576982397,1.0,0.0,11.161440503923993,0.00417070000548847,44,seed_robustness
8,16,10,elu+1,float64,0.325,0.14672347384715842,1.0,0.0,16.413095478474403,0.011991200008196756,44,seed_robustness
16,16,10,elu+1,float64,0.1,0.060380736442455986,0.975,0.03227486121839514,23.085659318214876,0.01764599999296479,44,seed_robustness
32,16,10,elu+1,float64,0.040625,0.015095184110613996,0.46875,0.03608439182435161,41.953967424874875,0.051120699994498864,44,seed_robustness
64,16,10,elu+1,float64,0.01875,0.0065880784586841235,0.1890625,0.027013130166437374,78.76489754325891,0.13269410000066273,44,seed_robustness
128,16,10,elu+1,float64,0.00859375,0.0024705294220065464,0.0859375,0.012214624374540182,153.15611852903112,0.4956921999983024,44,seed_robustness
2,16,10,elu+1,float64,1.0,0.0,1.0,0.0,7.796134957981742,0.00419300000066869,45,seed_robustness
4,16,10,elu+1,float64,0.7,0.19720265943665388,1.0,0.0,11.16800390448464,0.008211299980757758,45,seed_robustness
8,16,10,elu+1,float64,0.325,0.1467234738471584,1.0,0.0,16.37883722715504,0.011118500027805567,45,seed_robustness
16,16,10,elu+1,float64,0.08125,0.030190368221227993,0.98125,0.030190368221227993,23.00927149982905,0.025236799992853776,45,seed_robustness
32,16,10,elu+1,float64,0.040625,0.015095184110613998,0.46875,0.03608439182435161,41.90703348855205,0.047106800018809736,45,seed_robustness
64,16,10,elu+1,float64,0.0203125,0.007547592055306999,0.1953125,0.02969206836195672,78.2296849283662,0.13481050002155825,45,seed_robustness
128,16,10,elu+1,float64,0.00859375,0.0024705294220065464,0.0875,0.012103072956898178,152.5743080710919,0.4728519999771379,45,seed_robustness
