gamma,N,trials,accuracy,experiment
0.99,512,6,0.16666666666666666,horizon_curve
0.99,1024,6,0.0,horizon_curve
0.99,2048,6,0.16666666666666666,horizon_curve
0.99,4096,6,0.16666666666666666,horizon_curve
0.99,8192,6,0.0,horizon_curve
0.999,512,6,1.0,horizon_curve
0.999,1024,6,0.5,horizon_curve
0.999,2048,6,0.16666666666666666,horizon_curve
0.999,4096,6,0.16666666666666666,horizon_curve
0.999,8192,6,0.0,horizon_curve
0.9999,512,6,1.0,horizon_curve
0.9999,1024,6,0.8333333333333334,horizon_curve
0.9999,2048,6,0.6666666666666666,horizon_curve
0.9999,4096,6,0.3333333333333333,horizon_curve
0.9999,8192,6,0.16666666666666666,horizon_curve
