heads,head_dim,m,trials,accuracy,std,experiment
1,64,2,6,1.0,0.0,multihead
1,64,4,6,0.875,0.13693063937629152,multihead
1,64,8,6,0.2708333333333333,0.12289901003127188,multihead
1,64,16,6,0.09375,0.05229125165837972,multihead
1,64,32,6,0.036458333333333336,0.01275775907699572,multihead
1,64,64,6,0.018229166666666668,0.00637887953849786,multihead
1,64,128,6,0.0078125,0.0,multihead
4,32,2,6,0.9166666666666666,0.2041241452319315,multihead
4,32,4,6,0.7916666666666666,0.24579802006254375,multihead
4,32,8,6,0.2916666666666667,0.1707825127659933,multihead
4,32,16,6,0.08333333333333333,0.05103103630798288,multihead
4,32,32,6,0.046875,0.02614562582918986,multihead
4,32,64,6,0.018229166666666668,0.00637887953849786,multihead
4,32,128,6,0.0078125,0.0,multihead
16,16,2,6,1.0,0.0,multihead
16,16,4,6,0.6666666666666666,0.2041241452319315,multihead
16,16,8,6,0.2708333333333333,0.12289901003127188,multihead
16,16,16,6,0.09375,0.05229125165837972,multihead
16,16,32,6,0.036458333333333336,0.01275775907699572,multihead
16,16,64,6,0.015625,0.0,multihead
16,16,128,6,0.0078125,0.0,multihead
