heads,head_dim,m,trial,seed,accuracy
1,64,2,0,42,1.0
1,64,2,1,43,1.0
1,64,2,2,44,1.0
1,64,2,3,45,1.0
1,64,2,4,46,1.0
1,64,2,5,47,1.0
1,64,4,0,42,1.0
1,64,4,1,43,0.75
1,64,4,2,44,0.75
1,64,4,3,45,0.75
1,64,4,4,46,1.0
1,64,4,5,47,1.0
1,64,8,0,42,0.125
1,64,8,1,43,0.25
1,64,8,2,44,0.375
1,64,8,3,45,0.375
1,64,8,4,46,0.125
1,64,8,5,47,0.375
1,64,16,0,42,0.125
1,64,16,1,43,0.1875
1,64,16,2,44,0.0625
1,64,16,3,45,0.0625
1,64,16,4,46,0.0625
1,64,16,5,47,0.0625
1,64,32,0,42,0.03125
1,64,32,1,43,0.03125
1,64,32,2,44,0.03125
1,64,32,3,45,0.03125
1,64,32,4,46,0.0625
1,64,32,5,47,0.03125
1,64,64,0,42,0.015625
1,64,64,1,43,0.015625
1,64,64,2,44,0.015625
1,64,64,3,45,0.015625
1,64,64,4,46,0.015625
1,64,64,5,47,0.03125
1,64,128,0,42,0.0078125
1,64,128,1,43,0.0078125
1,64,128,2,44,0.0078125
1,64,128,3,45,0.0078125
1,64,128,4,46,0.0078125
1,64,128,5,47,0.0078125
4,32,2,0,42,1.0
4,32,2,1,43,1.0
4,32,2,2,44,1.0
4,32,2,3,45,0.5
4,32,2,4,46,1.0
4,32,2,5,47,1.0
4,32,4,0,42,0.75
4,32,4,1,43,1.0
4,32,4,2,44,1.0
4,32,4,3,45,0.5
4,32,4,4,46,0.5
4,32,4,5,47,1.0
4,32,8,0,42,0.25
4,32,8,1,43,0.25
4,32,8,2,44,0.625
4,32,8,3,45,0.25
4,32,8,4,46,0.125
4,32,8,5,47,0.25
4,32,16,0,42,0.0625
4,32,16,1,43,0.1875
4,32,16,2,44,0.0625
4,32,16,3,45,0.0625
4,32,16,4,46,0.0625
4,32,16,5,47,0.0625
4,32,32,0,42,0.03125
4,32,32,1,43,0.03125
4,32,32,2,44,0.09375
4,32,32,3,45,0.03125
4,32,32,4,46,0.03125
4,32,32,5,47,0.0625
4,32,64,0,42,0.015625
4,32,64,1,43,0.015625
4,32,64,2,44,0.015625
4,32,64,3,45,0.015625
4,32,64,4,46,0.03125
4,32,64,5,47,0.015625
4,32,128,0,42,0.0078125
4,32,128,1,43,0.0078125
4,32,128,2,44,0.0078125
4,32,128,3,45,0.0078125
4,32,128,4,46,0.0078125
4,32,128,5,47,0.0078125
16,16,2,0,42,1.0
16,16,2,1,43,1.0
16,16,2,2,44,1.0
16,16,2,3,45,1.0
16,16,2,4,46,1.0
16,16,2,5,47,1.0
16,16,4,0,42,0.5
16,16,4,1,43,0.5
16,16,4,2,44,0.5
16,16,4,3,45,0.75
16,16,4,4,46,1.0
16,16,4,5,47,0.75
16,16,8,0,42,0.125
16,16,8,1,43,0.375
16,16,8,2,44,0.25
16,16,8,3,45,0.125
16,16,8,4,46,0.375
16,16,8,5,47,0.375
16,16,16,0,42,0.0625
16,16,16,1,43,0.1875
16,16,16,2,44,0.125
16,16,16,3,45,0.0625
16,16,16,4,46,0.0625
16,16,16,5,47,0.0625
16,16,32,0,42,0.03125
16,16,32,1,43,0.0625
16,16,32,2,44,0.03125
16,16,32,3,45,0.03125
16,16,32,4,46,0.03125
16,16,32,5,47,0.03125
16,16,64,0,42,0.015625
16,16,64,1,43,0.015625
16,16,64,2,44,0.015625
16,16,64,3,45,0.015625
16,16,64,4,46,0.015625
16,16,64,5,47,0.015625
16,16,128,0,42,0.0078125
16,16,128,1,43,0.0078125
16,16,128,2,44,0.0078125
16,16,128,3,45,0.0078125
16,16,128,4,46,0.0078125
16,16,128,5,47,0.0078125
