sigma,trial,seed,linear,softmax
0.0,0,42,1.0,1.0
0.0,1,43,1.0,1.0
0.0,2,44,1.0,1.0
0.0,3,45,0.0,1.0
0.0,4,46,1.0,1.0
0.0,5,47,1.0,1.0
0.0,6,48,1.0,1.0
0.0,7,49,1.0,1.0
0.0,8,50,1.0,1.0
0.0,9,51,1.0,1.0
0.1,0,42,1.0,1.0
0.1,1,43,1.0,1.0
0.1,2,44,1.0,1.0
0.1,3,45,0.0,1.0
0.1,4,46,1.0,1.0
0.1,5,47,1.0,1.0
0.1,6,48,1.0,1.0
0.1,7,49,1.0,1.0
0.1,8,50,1.0,1.0
0.1,9,51,1.0,1.0
0.3,0,42,1.0,1.0
0.3,1,43,1.0,1.0
0.3,2,44,1.0,1.0
0.3,3,45,0.0,1.0
0.3,4,46,1.0,1.0
0.3,5,47,1.0,1.0
0.3,6,48,1.0,1.0
0.3,7,49,1.0,1.0
0.3,8,50,1.0,1.0
0.3,9,51,1.0,1.0
1.0,0,42,1.0,1.0
1.0,1,43,1.0,1.0
1.0,2,44,1.0,1.0
1.0,3,45,0.0,1.0
1.0,4,46,1.0,1.0
1.0,5,47,1.0,1.0
1.0,6,48,1.0,1.0
1.0,7,49,1.0,1.0
1.0,8,50,1.0,1.0
1.0,9,51,1.0,1.0
