mode,buffer,m,dim,trials,accuracy,std,experiment
off,0,2,16,6,1.0,0.0,novelty_gate
off,0,4,16,6,0.625,0.30618621784789724,novelty_gate
off,0,8,16,6,0.4166666666666667,0.12909944487358055,novelty_gate
off,0,16,16,6,0.10416666666666667,0.07569125885243728,novelty_gate
off,0,32,16,6,0.041666666666666664,0.01613743060919757,novelty_gate
off,0,64,16,6,0.018229166666666668,0.00637887953849786,novelty_gate
off,0,128,16,6,0.009114583333333334,0.00318943976924893,novelty_gate
soft-16,16,2,16,6,0.8333333333333334,0.25819888974716115,novelty_gate
soft-16,16,4,16,6,0.5416666666666666,0.10206207261596575,novelty_gate
soft-16,16,8,16,6,0.3333333333333333,0.12909944487358058,novelty_gate
soft-16,16,16,16,6,0.09375,0.05229125165837972,novelty_gate
soft-16,16,32,16,6,0.03125,0.0,novelty_gate
soft-16,16,64,16,6,0.015625,0.0,novelty_gate
soft-16,16,128,16,6,0.009114583333333334,0.00318943976924893,novelty_gate
soft-64,64,2,16,6,0.8333333333333334,0.25819888974716115,novelty_gate
soft-64,64,4,16,6,0.5416666666666666,0.10206207261596575,novelty_gate
soft-64,64,8,16,6,0.3333333333333333,0.12909944487358058,novelty_gate
soft-64,64,16,16,6,0.09375,0.05229125165837972,novelty_gate
soft-64,64,32,16,6,0.03125,0.0,novelty_gate
soft-64,64,64,16,6,0.015625,0.0,novelty_gate
soft-64,64,128,16,6,0.009114583333333334,0.00318943976924893,novelty_gate
hard-16-0.8,16,2,16,6,1.0,0.0,novelty_gate
hard-16-0.8,16,4,16,6,0.625,0.30618621784789724,novelty_gate
hard-16-0.8,16,8,16,6,0.4166666666666667,0.12909944487358055,novelty_gate
hard-16-0.8,16,16,16,6,0.10416666666666667,0.07569125885243728,novelty_gate
hard-16-0.8,16,32,16,6,0.041666666666666664,0.01613743060919757,novelty_gate
hard-16-0.8,16,64,16,6,0.018229166666666668,0.00637887953849786,novelty_gate
hard-16-0.8,16,128,16,6,0.009114583333333334,0.00318943976924893,novelty_gate
