mode,trial,seed,recovered
scalar-0.99,0,42,0.0
scalar-0.99,1,43,0.0
scalar-0.99,2,44,0.0
scalar-0.99,3,45,0.0
scalar-0.99,4,46,0.0
scalar-0.99,5,47,0.0
scalar-0.99,6,48,0.0
scalar-0.99,7,49,0.0
scalar-0.999,0,42,0.0
scalar-0.999,1,43,1.0
scalar-0.999,2,44,1.0
scalar-0.999,3,45,0.0
scalar-0.999,4,46,0.0
scalar-0.999,5,47,1.0
scalar-0.999,6,48,1.0
scalar-0.999,7,49,0.0
perchannel,0,42,1.0
perchannel,1,43,1.0
perchannel,2,44,1.0
perchannel,3,45,0.0
perchannel,4,46,1.0
perchannel,5,47,0.0
perchannel,6,48,1.0
perchannel,7,49,0.0
