file,cell,metric,mean,ci95
exp11_compress.csv,"N=2048,dim=16,alphabet=8",accuracy,0.675,0.147
exp11_compress.csv,"N=2048,dim=16,alphabet=64",accuracy,0.55,0.1561
exp11_compress.csv,"N=2048,dim=16,alphabet=-1",accuracy,0.65,0.1497
exp11_multihead.csv,"m=2,heads=1,head_dim=64",accuracy,1.0,0.0
exp11_multihead.csv,"m=4,heads=1,head_dim=64",accuracy,0.875,0.1096
exp11_multihead.csv,"m=8,heads=1,head_dim=64",accuracy,0.2708,0.0983
exp11_multihead.csv,"m=16,heads=1,head_dim=64",accuracy,0.0938,0.0418
exp11_multihead.csv,"m=32,heads=1,head_dim=64",accuracy,0.0365,0.0102
exp11_multihead.csv,"m=64,heads=1,head_dim=64",accuracy,0.0182,0.0051
exp11_multihead.csv,"m=128,heads=1,head_dim=64",accuracy,0.0078,0.0
exp11_multihead.csv,"m=2,heads=4,head_dim=32",accuracy,0.9167,0.1633
exp11_multihead.csv,"m=4,heads=4,head_dim=32",accuracy,0.7917,0.1967
exp11_multihead.csv,"m=8,heads=4,head_dim=32",accuracy,0.2917,0.1367
exp11_multihead.csv,"m=16,heads=4,head_dim=32",accuracy,0.0833,0.0408
exp11_multihead.csv,"m=32,heads=4,head_dim=32",accuracy,0.0469,0.0209
exp11_multihead.csv,"m=64,heads=4,head_dim=32",accuracy,0.0182,0.0051
exp11_multihead.csv,"m=128,heads=4,head_dim=32",accuracy,0.0078,0.0
exp11_multihead.csv,"m=2,heads=16,head_dim=16",accuracy,1.0,0.0
exp11_multihead.csv,"m=4,heads=16,head_dim=16",accuracy,0.6667,0.1633
exp11_multihead.csv,"m=8,heads=16,head_dim=16",accuracy,0.2708,0.0983
exp11_multihead.csv,"m=16,heads=16,head_dim=16",accuracy,0.0938,0.0418
exp11_multihead.csv,"m=32,heads=16,head_dim=16",accuracy,0.0365,0.0102
exp11_multihead.csv,"m=64,heads=16,head_dim=16",accuracy,0.0156,0.0
exp11_multihead.csv,"m=128,heads=16,head_dim=16",accuracy,0.0078,0.0
exp11_novelty.csv,"m=2,dim=16,mode=off",accuracy,1.0,0.0
exp11_novelty.csv,"m=4,dim=16,mode=off",accuracy,0.625,0.245
exp11_novelty.csv,"m=8,dim=16,mode=off",accuracy,0.4167,0.1033
exp11_novelty.csv,"m=16,dim=16,mode=off",accuracy,0.1042,0.0606
exp11_novelty.csv,"m=32,dim=16,mode=off",accuracy,0.0417,0.0129
exp11_novelty.csv,"m=64,dim=16,mode=off",accuracy,0.0182,0.0051
exp11_novelty.csv,"m=128,dim=16,mode=off",accuracy,0.0091,0.0026
exp11_novelty.csv,"m=2,dim=16,mode=soft-16",accuracy,0.8333,0.2066
exp11_novelty.csv,"m=4,dim=16,mode=soft-16",accuracy,0.5417,0.0817
exp11_novelty.csv,"m=8,dim=16,mode=soft-16",accuracy,0.3333,0.1033
exp11_novelty.csv,"m=16,dim=16,mode=soft-16",accuracy,0.0938,0.0418
exp11_novelty.csv,"m=32,dim=16,mode=soft-16",accuracy,0.0312,0.0
exp11_novelty.csv,"m=64,dim=16,mode=soft-16",accuracy,0.0156,0.0
exp11_novelty.csv,"m=128,dim=16,mode=soft-16",accuracy,0.0091,0.0026
exp11_novelty.csv,"m=2,dim=16,mode=soft-64",accuracy,0.8333,0.2066
exp11_novelty.csv,"m=4,dim=16,mode=soft-64",accuracy,0.5417,0.0817
exp11_novelty.csv,"m=8,dim=16,mode=soft-64",accuracy,0.3333,0.1033
exp11_novelty.csv,"m=16,dim=16,mode=soft-64",accuracy,0.0938,0.0418
exp11_novelty.csv,"m=32,dim=16,mode=soft-64",accuracy,0.0312,0.0
exp11_novelty.csv,"m=64,dim=16,mode=soft-64",accuracy,0.0156,0.0
exp11_novelty.csv,"m=128,dim=16,mode=soft-64",accuracy,0.0091,0.0026
exp11_novelty.csv,"m=2,dim=16,mode=hard-16-0.8",accuracy,1.0,0.0
exp11_novelty.csv,"m=4,dim=16,mode=hard-16-0.8",accuracy,0.625,0.245
exp11_novelty.csv,"m=8,dim=16,mode=hard-16-0.8",accuracy,0.4167,0.1033
exp11_novelty.csv,"m=16,dim=16,mode=hard-16-0.8",accuracy,0.1042,0.0606
exp11_novelty.csv,"m=32,dim=16,mode=hard-16-0.8",accuracy,0.0417,0.0129
exp11_novelty.csv,"m=64,dim=16,mode=hard-16-0.8",accuracy,0.0182,0.0051
exp11_novelty.csv,"m=128,dim=16,mode=hard-16-0.8",accuracy,0.0091,0.0026
exp11_perchannel.csv,"N=1024,dim=16,mode=scalar-0.99",accuracy,0.0,0.0
exp11_perchannel.csv,"N=1024,dim=16,mode=scalar-0.999",accuracy,0.5,0.3704
exp11_perchannel.csv,"N=1024,dim=16,mode=perchannel",accuracy,0.625,0.3586
exp11_shift.csv,"N=2048,dim=16,shift=0.0",accuracy,0.75,0.3208
exp11_shift.csv,"N=2048,dim=16,shift=1.0",accuracy,0.625,0.3586
exp11_shift.csv,"N=2048,dim=16,shift=2.0",accuracy,0.375,0.3586
exp11_shift.csv,"N=2048,dim=16,shift=4.0",accuracy,0.25,0.3208
exp12_chunksummary.csv,"N=4096,dim=16,mode=zero,chunk=1024,position_frac=0.1",accuracy,0.125,0.245
exp12_chunksummary.csv,"N=4096,dim=16,mode=zero,chunk=1024,position_frac=0.9",accuracy,0.75,0.3208
exp12_chunksummary.csv,"N=4096,dim=16,mode=summary,chunk=1024,position_frac=0.1",accuracy,0.125,0.245
