m,dim,trials,linear_mean,linear_std,softmax_mean,softmax_std,feature_map,experiment
2,8,10,1.0,0.0,1.0,0.0,centered_elu,centered_orth_d
4,8,10,1.0,0.0,0.925,0.12076147288491199,centered_elu,centered_orth_d
8,8,10,0.775,0.11486707293408518,0.2125,0.0843685697138191,centered_elu,centered_orth_d
16,8,10,0.41875,0.04218428485690955,0.15625,0.07933096985274904,centered_elu,centered_orth_d
32,8,10,0.20625,0.026352313834736494,0.0875,0.024650332429581735,centered_elu,centered_orth_d
64,8,10,0.115625,0.008068715304598784,0.0390625,0.025779934730759544,centered_elu,centered_orth_d
128,8,10,0.05703125,0.006431817205848161,0.034375,0.014823176532039278,centered_elu,centered_orth_d
2,32,10,1.0,0.0,1.0,0.0,centered_elu,centered_orth_d
4,32,10,1.0,0.0,0.625,0.2946278254943948,centered_elu,centered_orth_d
8,32,10,0.95,0.12076147288491199,0.1875,0.08838834764831845,centered_elu,centered_orth_d
16,32,10,0.49375,0.15436361294035586,0.075,0.026352313834736497,centered_elu,centered_orth_d
32,32,10,0.090625,0.0428225099814468,0.0375,0.013176156917368249,centered_elu,centered_orth_d
64,32,10,0.053125,0.04370036867375632,0.01875,0.0065880784586841235,centered_elu,centered_orth_d
128,32,10,0.03046875,0.023995103124561337,0.01015625,0.003773796027653499,centered_elu,centered_orth_d
2,64,10,1.0,0.0,1.0,0.0,centered_elu,centered_orth_d
4,64,10,1.0,0.0,0.475,0.24860723150293831,centered_elu,centered_orth_d
8,64,10,0.5125,0.2079162491645775,0.1375,0.03952847075210474,centered_elu,centered_orth_d
16,64,10,0.1625,0.07905694150420949,0.06875,0.01976423537605237,centered_elu,centered_orth_d
32,64,10,0.0375,0.013176156917368249,0.034375,0.009882117688026186,centered_elu,centered_orth_d
64,64,10,0.0203125,0.007547592055306998,0.015625,0.0,centered_elu,centered_orth_d
128,64,10,0.009375,0.003294039229342062,0.0078125,0.0,centered_elu,centered_orth_d
