gamma,m,dim,trials,accuracy,std,experiment
1.0,2,16,8,1.0,0.0,gated_msweep
1.0,4,16,8,0.65625,0.2651650429449553,gated_msweep
1.0,8,16,8,0.375,0.1494035761667992,gated_msweep
1.0,16,16,8,0.1015625,0.06629126073623882,gated_msweep
1.0,32,16,8,0.0390625,0.014465939058946116,gated_msweep
1.0,64,16,8,0.017578125,0.005524271728019903,gated_msweep
1.0,128,16,8,0.0087890625,0.0027621358640099515,gated_msweep
0.99,2,16,8,0.9375,0.1767766952966369,gated_msweep
0.99,4,16,8,0.65625,0.2651650429449553,gated_msweep
0.99,8,16,8,0.359375,0.10431537004953502,gated_msweep
0.99,16,16,8,0.09375,0.0472455591261534,gated_msweep
0.99,32,16,8,0.0390625,0.014465939058946116,gated_msweep
0.99,64,16,8,0.01953125,0.007232969529473058,gated_msweep
0.99,128,16,8,0.0078125,0.0,gated_msweep
0.9,2,16,8,0.9375,0.1767766952966369,gated_msweep
0.9,4,16,8,0.625,0.2988071523335984,gated_msweep
0.9,8,16,8,0.28125,0.08838834764831845,gated_msweep
0.9,16,16,8,0.109375,0.06469364618834571,gated_msweep
0.9,32,16,8,0.03515625,0.011048543456039806,gated_msweep
0.9,64,16,8,0.01953125,0.007232969529473058,gated_msweep
0.9,128,16,8,0.0068359375,0.0027621358640099515,gated_msweep
