gamma,m,trial,seed,accuracy
1.0,2,0,42,1.0
1.0,2,1,43,1.0
1.0,2,2,44,1.0
1.0,2,3,45,1.0
1.0,2,4,46,1.0
1.0,2,5,47,1.0
1.0,2,6,48,1.0
1.0,2,7,49,1.0
1.0,4,0,42,0.75
1.0,4,1,43,1.0
1.0,4,2,44,0.25
1.0,4,3,45,0.75
1.0,4,4,46,0.75
1.0,4,5,47,0.25
1.0,4,6,48,0.75
1.0,4,7,49,0.75
1.0,8,0,42,0.5
1.0,8,1,43,0.5
1.0,8,2,44,0.25
1.0,8,3,45,0.5
1.0,8,4,46,0.5
1.0,8,5,47,0.25
1.0,8,6,48,0.125
1.0,8,7,49,0.375
1.0,16,0,42,0.0625
1.0,16,1,43,0.125
1.0,16,2,44,0.25
1.0,16,3,45,0.0625
1.0,16,4,46,0.0625
1.0,16,5,47,0.0625
1.0,16,6,48,0.125
1.0,16,7,49,0.0625
1.0,32,0,42,0.03125
1.0,32,1,43,0.03125
1.0,32,2,44,0.0625
1.0,32,3,45,0.03125
1.0,32,4,46,0.03125
1.0,32,5,47,0.0625
1.0,32,6,48,0.03125
1.0,32,7,49,0.03125
1.0,64,0,42,0.015625
1.0,64,1,43,0.015625
1.0,64,2,44,0.015625
1.0,64,3,45,0.015625
1.0,64,4,46,0.03125
1.0,64,5,47,0.015625
1.0,64,6,48,0.015625
1.0,64,7,49,0.015625
1.0,128,0,42,0.0078125
1.0,128,1,43,0.0078125
1.0,128,2,44,0.0078125
1.0,128,3,45,0.0078125
1.0,128,4,46,0.0078125
1.0,128,5,47,0.015625
1.0,128,6,48,0.0078125
1.0,128,7,49,0.0078125
0.99,2,0,42,0.5
0.99,2,1,43,1.0
0.99,2,2,44,1.0
0.99,2,3,45,1.0
0.99,2,4,46,1.0
0.99,2,5,47,1.0
0.99,2,6,48,1.0
0.99,2,7,49,1.0
0.99,4,0,42,0.75
0.99,4,1,43,1.0
0.99,4,2,44,0.25
0.99,4,3,45,0.75
0.99,4,4,46,0.75
0.99,4,5,47,0.25
0.99,4,6,48,0.75
0.99,4,7,49,0.75
0.99,8,0,42,0.375
0.99,8,1,43,0.5
0.99,8,2,44,0.25
0.99,8,3,45,0.5
0.99,8,4,46,0.375
0.99,8,5,47,0.25
0.99,8,6,48,0.25
0.99,8,7,49,0.375
0.99,16,0,42,0.0625
0.99,16,1,43,0.125
0.99,16,2,44,0.1875
0.99,16,3,45,0.0625
0.99,16,4,46,0.0625
0.99,16,5,47,0.0625
0.99,16,6,48,0.125
0.99,16,7,49,0.0625
0.99,32,0,42,0.03125
0.99,32,1,43,0.03125
0.99,32,2,44,0.0625
0.99,32,3,45,0.03125
0.99,32,4,46,0.03125
0.99,32,5,47,0.0625
0.99,32,6,48,0.03125
0.99,32,7,49,0.03125
0.99,64,0,42,0.015625
0.99,64,1,43,0.015625
0.99,64,2,44,0.015625
0.99,64,3,45,0.015625
0.99,64,4,46,0.03125
0.99,64,5,47,0.03125
0.99,64,6,48,0.015625
0.99,64,7,49,0.015625
0.99,128,0,42,0.0078125
0.99,128,1,43,0.0078125
0.99,128,2,44,0.0078125
0.99,128,3,45,0.0078125
0.99,128,4,46,0.0078125
0.99,128,5,47,0.0078125
0.99,128,6,48,0.0078125
0.99,128,7,49,0.0078125
0.9,2,0,42,0.5
0.9,2,1,43,1.0
0.9,2,2,44,1.0
0.9,2,3,45,1.0
0.9,2,4,46,1.0
0.9,2,5,47,1.0
0.9,2,6,48,1.0
0.9,2,7,49,1.0
0.9,4,0,42,0.75
0.9,4,1,43,0.75
0.9,4,2,44,0.25
0.9,4,3,45,0.25
0.9,4,4,46,1.0
0.9,4,5,47,0.5
0.9,4,6,48,0.5
0.9,4,7,49,1.0
0.9,8,0,42,0.25
0.9,8,1,43,0.375
0.9,8,2,44,0.25
0.9,8,3,45,0.25
0.9,8,4,46,0.125
0.9,8,5,47,0.25
0.9,8,6,48,0.375
0.9,8,7,49,0.375
0.9,16,0,42,0.125
0.9,16,1,43,0.25
0.9,16,2,44,0.0625
0.9,16,3,45,0.125
0.9,16,4,46,0.0625
0.9,16,5,47,0.0625
0.9,16,6,48,0.0625
0.9,16,7,49,0.125
0.9,32,0,42,0.03125
0.9,32,1,43,0.03125
0.9,32,2,44,0.0625
0.9,32,3,45,0.03125
0.9,32,4,46,0.03125
0.9,32,5,47,0.03125
0.9,32,6,48,0.03125
0.9,32,7,49,0.03125
0.9,64,0,42,0.03125
0.9,64,1,43,0.015625
0.9,64,2,44,0.015625
0.9,64,3,45,0.015625
0.9,64,4,46,0.015625
0.9,64,5,47,0.015625
0.9,64,6,48,0.015625
0.9,64,7,49,0.03125
0.9,128,0,42,0.0078125
0.9,128,1,43,0.0
0.9,128,2,44,0.0078125
0.9,128,3,45,0.0078125
0.9,128,4,46,0.0078125
0.9,128,5,47,0.0078125
0.9,128,6,48,0.0078125
0.9,128,7,49,0.0078125
