mode,m,dim,trials,accuracy,std,experiment
off,2,16,8,1.0,0.0,gate_msweep
off,4,16,8,0.65625,0.2651650429449553,gate_msweep
off,8,16,8,0.375,0.1494035761667992,gate_msweep
off,16,16,8,0.1015625,0.06629126073623882,gate_msweep
off,32,16,8,0.0390625,0.014465939058946116,gate_msweep
off,64,16,8,0.017578125,0.005524271728019903,gate_msweep
off,128,16,8,0.0087890625,0.0027621358640099515,gate_msweep
hard-16-0.8,2,16,8,1.0,0.0,gate_msweep
hard-16-0.8,4,16,8,0.65625,0.2651650429449553,gate_msweep
hard-16-0.8,8,16,8,0.375,0.1494035761667992,gate_msweep
hard-16-0.8,16,16,8,0.1015625,0.06629126073623882,gate_msweep
hard-16-0.8,32,16,8,0.0390625,0.014465939058946116,gate_msweep
hard-16-0.8,64,16,8,0.017578125,0.005524271728019903,gate_msweep
hard-16-0.8,128,16,8,0.0087890625,0.0027621358640099515,gate_msweep
