mode,m,trial,seed,accuracy
off,2,0,42,1.0
off,2,1,43,1.0
off,2,2,44,1.0
off,2,3,45,1.0
off,2,4,46,1.0
off,2,5,47,1.0
off,2,6,48,1.0
off,2,7,49,1.0
off,4,0,42,0.75
off,4,1,43,1.0
off,4,2,44,0.25
off,4,3,45,0.75
off,4,4,46,0.75
off,4,5,47,0.25
off,4,6,48,0.75
off,4,7,49,0.75
off,8,0,42,0.5
off,8,1,43,0.5
off,8,2,44,0.25
off,8,3,45,0.5
off,8,4,46,0.5
off,8,5,47,0.25
off,8,6,48,0.125
off,8,7,49,0.375
off,16,0,42,0.0625
off,16,1,43,0.125
off,16,2,44,0.25
off,16,3,45,0.0625
off,16,4,46,0.0625
off,16,5,47,0.0625
off,16,6,48,0.125
off,16,7,49,0.0625
off,32,0,42,0.03125
off,32,1,43,0.03125
off,32,2,44,0.0625
off,32,3,45,0.03125
off,32,4,46,0.03125
off,32,5,47,0.0625
off,32,6,48,0.03125
off,32,7,49,0.03125
off,64,0,42,0.015625
off,64,1,43,0.015625
off,64,2,44,0.015625
off,64,3,45,0.015625
off,64,4,46,0.03125
off,64,5,47,0.015625
off,64,6,48,0.015625
off,64,7,49,0.015625
off,128,0,42,0.0078125
off,128,1,43,0.0078125
off,128,2,44,0.0078125
off,128,3,45,0.0078125
off,128,4,46,0.0078125
off,128,5,47,0.015625
off,128,6,48,0.0078125
off,128,7,49,0.0078125
hard-16-0.8,2,0,42,1.0
hard-16-0.8,2,1,43,1.0
hard-16-0.8,2,2,44,1.0
hard-16-0.8,2,3,45,1.0
hard-16-0.8,2,4,46,1.0
hard-16-0.8,2,5,47,1.0
hard-16-0.8,2,6,48,1.0
hard-16-0.8,2,7,49,1.0
hard-16-0.8,4,0,42,0.75
hard-16-0.8,4,1,43,1.0
hard-16-0.8,4,2,44,0.25
hard-16-0.8,4,3,45,0.75
hard-16-0.8,4,4,46,0.75
hard-16-0.8,4,5,47,0.25
hard-16-0.8,4,6,48,0.75
hard-16-0.8,4,7,49,0.75
hard-16-0.8,8,0,42,0.5
hard-16-0.8,8,1,43,0.5
hard-16-0.8,8,2,44,0.25
hard-16-0.8,8,3,45,0.5
hard-16-0.8,8,4,46,0.5
hard-16-0.8,8,5,47,0.25
hard-16-0.8,8,6,48,0.125
hard-16-0.8,8,7,49,0.375
hard-16-0.8,16,0,42,0.0625
hard-16-0.8,16,1,43,0.125
hard-16-0.8,16,2,44,0.25
hard-16-0.8,16,3,45,0.0625
hard-16-0.8,16,4,46,0.0625
hard-16-0.8,16,5,47,0.0625
hard-16-0.8,16,6,48,0.125
hard-16-0.8,16,7,49,0.0625
hard-16-0.8,32,0,42,0.03125
hard-16-0.8,32,1,43,0.03125
hard-16-0.8,32,2,44,0.0625
hard-16-0.8,32,3,45,0.03125
hard-16-0.8,32,4,46,0.03125
hard-16-0.8,32,5,47,0.0625
hard-16-0.8,32,6,48,0.03125
hard-16-0.8,32,7,49,0.03125
hard-16-0.8,64,0,42,0.015625
hard-16-0.8,64,1,43,0.015625
hard-16-0.8,64,2,44,0.015625
hard-16-0.8,64,3,45,0.015625
hard-16-0.8,64,4,46,0.03125
hard-16-0.8,64,5,47,0.015625
hard-16-0.8,64,6,48,0.015625
hard-16-0.8,64,7,49,0.015625
hard-16-0.8,128,0,42,0.0078125
hard-16-0.8,128,1,43,0.0078125
hard-16-0.8,128,2,44,0.0078125
hard-16-0.8,128,3,45,0.0078125
hard-16-0.8,128,4,46,0.0078125
hard-16-0.8,128,5,47,0.015625
hard-16-0.8,128,6,48,0.0078125
hard-16-0.8,128,7,49,0.0078125
