gamma,N,dim,trials,position_frac,accuracy,std,state_norm_mean,horizon_1_over_1mg,horizon_fp32_zero,feature_map,precision,experiment,seed,probe,mode,m,linear_mean,linear_std,softmax_mean,softmax_std,runtime_s,coarse_accuracy,coarse_std,fine_accuracy,fine_std
1.0,4096.0,16,10,0.1,0.3,0.4830458915396479,13.82953597592583,,,elu+1,float64,gated_decay,43,gated_gamma,,,,,,,,,,,
0.9,4096.0,16,10,0.1,0.0,0.0,0.4766634543701233,10.000000000000002,166.35532330000004,elu+1,float64,gated_decay,43,gated_gamma,,,,,,,,,,,
0.99,4096.0,16,10,0.1,0.1,0.31622776601683794,1.5086761088173177,99.99999999999991,1663.5532329999985,elu+1,float64,gated_decay,43,gated_gamma,,,,,,,,,,,
0.999,4096.0,16,10,0.1,0.1,0.31622776601683794,4.541673112804449,999.9999999999991,16635.532329999984,elu+1,float64,gated_decay,43,gated_gamma,,,,,,,,,,,
0.9999,4096.0,16,10,0.1,0.2,0.42163702135578396,11.273002576299033,10000.0000000011,166355.3233000183,elu+1,float64,gated_decay,43,gated_gamma,,,,,,,,,,,
,4096.0,16,10,,0.3,0.4830458915396479,,,,,,selective_decay,43,selective,fixed-1.0,,,,,,,,,,
,4096.0,16,10,,0.1,0.31622776601683794,,,,,,selective_decay,43,selective,fixed-0.99,,,,,,,,,,
,4096.0,16,10,,0.2,0.42163702135578396,,,,,,selective_decay,43,selective,oracle,,,,,,,,,,
,1024.0,16,10,,0.1,0.31622776601683794,,,,,,perchannel_decay,43,perchannel,scalar-0.99,,,,,,,,,,
,1024.0,16,10,,0.6,0.5163977794943223,,,,,,perchannel_decay,43,perchannel,scalar-0.999,,,,,,,,,,
,1024.0,16,10,,0.7,0.4830458915396479,,,,,,perchannel_decay,43,perchannel,perchannel,,,,,,,,,,
,,16,10,,,,4.164595137365687,,,centered_elu,float64,,43,centered_d16,,2.0,1.0,0.0,1.0,0.0,0.0025542000075802207,,,,
,,16,10,,,,6.037341461186475,,,centered_elu,float64,,43,centered_d16,,4.0,0.975,0.07905694150420949,1.0,0.0,0.008818700007395819,,,,
,,16,10,,,,9.06206701707288,,,centered_elu,float64,,43,centered_d16,,8.0,0.9375,0.06588078458684124,1.0,0.0,0.006582500005606562,,,,
,,16,10,,,,12.813588271889426,,,centered_elu,float64,,43,centered_d16,,16.0,0.825,0.07682953714410738,0.975,0.03227486121839514,0.017263400019146502,,,,
,,16,10,,,,17.91098334601065,,,centered_elu,float64,,43,centered_d16,,32.0,0.29375,0.05145453764678529,0.465625,0.03107590393786729,0.045206000009784475,,,,
,,16,10,,,,25.290833206279437,,,centered_elu,float64,,43,centered_d16,,64.0,0.0953125,0.038590903235088965,0.1890625,0.027013130166437374,0.12118919999920763,,,,
,,16,10,,,,36.06898007857302,,,centered_elu,float64,,43,centered_d16,,128.0,0.03046875,0.01624215221824237,0.08515625,0.012994765572786093,0.4111306999984663,,,,
,128.0,16,10,,,,,,,,,coarse_vs_fine,43,dissipation,,,,,,,,1.0,0.0,0.0,0.0
,512.0,16,10,,,,,,,,,coarse_vs_fine,43,dissipation,,,,,,,,1.0,0.0,0.0,0.0
,2048.0,16,10,,,,,,,,,coarse_vs_fine,43,dissipation,,,,,,,,1.0,0.0,0.0,0.0
,8192.0,16,10,,,,,,,,,coarse_vs_fine,43,dissipation,,,,,,,,1.0,0.0,0.0,0.0
1.0,4096.0,16,10,0.1,0.3,0.4830458915396479,14.380288508971853,,,elu+1,float64,gated_decay,44,gated_gamma,,,,,,,,,,,
0.9,4096.0,16,10,0.1,0.0,0.0,0.48045898450364166,10.000000000000002,166.35532330000004,elu+1,float64,gated_decay,44,gated_gamma,,,,,,,,,,,
0.99,4096.0,16,10,0.1,0.1,0.31622776601683794,1.5227292339332983,99.99999999999991,1663.5532329999985,elu+1,float64,gated_decay,44,gated_gamma,,,,,,,,,,,
0.999,4096.0,16,10,0.1,0.1,0.31622776601683794,4.569456163858672,999.9999999999991,16635.532329999984,elu+1,float64,gated_decay,44,gated_gamma,,,,,,,,,,,
0.9999,4096.0,16,10,0.1,0.2,0.42163702135578396,11.68437707302691,10000.0000000011,166355.3233000183,elu+1,float64,gated_decay,44,gated_gamma,,,,,,,,,,,
,4096.0,16,10,,0.3,0.4830458915396479,,,,,,selective_decay,44,selective,fixed-1.0,,,,,,,,,,
,4096.0,16,10,,0.1,0.31622776601683794,,,,,,selective_decay,44,selective,fixed-0.99,,,,,,,,,,
,4096.0,16,10,,0.2,0.42163702135578396,,,,,,selective_decay,44,selective,oracle,,,,,,,,,,
,1024.0,16,10,,0.1,0.31622776601683794,,,,,,perchannel_decay,44,perchannel,scalar-0.99,,,,,,,,,,
,1024.0,16,10,,0.6,0.5163977794943223,,,,,,perchannel_decay,44,perchannel,scalar-0.999,,,,,,,,,,
,1024.0,16,10,,0.7,0.4830458915396479,,,,,,perchannel_decay,44,perchannel,perchannel,,,,,,,,,,
,,16,10,,,,4.22621729574495,,,centered_elu,float64,,44,centered_d16,,2.0,1.0,0.0,1.0,0.0,0.00873989998945035,,,,
,,16,10,,,,6.210624064380346,,,centered_elu,float64,,44,centered_d16,,4.0,0.975,0.07905694150420949,1.0,0.0,0.0032211999932769686,,,,
,,16,10,,,,9.166377728680281,,,centered_elu,float64,,44,centered_d16,,8.0,0.95,0.06454972243679027,1.0,0.0,0.009922099998220801,,,,
,,16,10,,,,12.877446811813522,,,centered_elu,float64,,44,centered_d16,,16.0,0.84375,0.07933096985274904,0.975,0.03227486121839514,0.018662000016774982,,,,
,,16,10,,,,17.940751495380006,,,centered_elu,float64,,44,centered_d16,,32.0,0.29375,0.05145453764678529,0.46875,0.03608439182435161,0.03978150000330061,,,,
,,16,10,,,,25.413161753913393,,,centered_elu,float64,,44,centered_d16,,64.0,0.0890625,0.04360715768528016,0.1890625,0.027013130166437374,0.11732560000382364,,,,
,,16,10,,,,35.81432841457057,,,centered_elu,float64,,44,centered_d16,,128.0,0.0296875,0.01596844762162072,0.0859375,0.012214624374540182,0.4021416000032332,,,,
,128.0,16,10,,,,,,,,,coarse_vs_fine,44,dissipation,,,,,,,,1.0,0.0,0.0,0.0
,512.0,16,10,,,,,,,,,coarse_vs_fine,44,dissipation,,,,,,,,1.0,0.0,0.0,0.0
,2048.0,16,10,,,,,,,,,coarse_vs_fine,44,dissipation,,,,,,,,1.0,0.0,0.0,0.0
,8192.0,16,10,,,,,,,,,coarse_vs_fine,44,dissipation,,,,,,,,1.0,0.0,0.0,0.0
