pos,pos_frac,trial,seed,correct
0,0.0,0,42,0.0
1,0.14285714285714285,0,42,1.0
2,0.2857142857142857,0,42,0.0
3,0.42857142857142855,0,42,1.0
4,0.5714285714285714,0,42,0.0
5,0.7142857142857143,0,42,0.0
6,0.8571428571428571,0,42,1.0
7,1.0,0,42,1.0
0,0.0,1,43,0.0
1,0.14285714285714285,1,43,1.0
2,0.2857142857142857,1,43,0.0
3,0.42857142857142855,1,43,0.0
4,0.5714285714285714,1,43,1.0
5,0.7142857142857143,1,43,1.0
6,0.8571428571428571,1,43,0.0
7,1.0,1,43,1.0
0,0.0,2,44,0.0
1,0.14285714285714285,2,44,0.0
2,0.2857142857142857,2,44,0.0
3,0.42857142857142855,2,44,0.0
4,0.5714285714285714,2,44,1.0
5,0.7142857142857143,2,44,0.0
6,0.8571428571428571,2,44,0.0
7,1.0,2,44,1.0
0,0.0,3,45,1.0
1,0.14285714285714285,3,45,0.0
2,0.2857142857142857,3,45,1.0
3,0.42857142857142855,3,45,1.0
4,0.5714285714285714,3,45,0.0
5,0.7142857142857143,3,45,0.0
6,0.8571428571428571,3,45,1.0
7,1.0,3,45,0.0
0,0.0,4,46,0.0
1,0.14285714285714285,4,46,1.0
2,0.2857142857142857,4,46,1.0
3,0.42857142857142855,4,46,1.0
4,0.5714285714285714,4,46,0.0
5,0.7142857142857143,4,46,0.0
6,0.8571428571428571,4,46,0.0
7,1.0,4,46,1.0
0,0.0,5,47,0.0
1,0.14285714285714285,5,47,0.0
2,0.2857142857142857,5,47,0.0
3,0.42857142857142855,5,47,1.0
4,0.5714285714285714,5,47,0.0
5,0.7142857142857143,5,47,0.0
6,0.8571428571428571,5,47,1.0
7,1.0,5,47,0.0
0,0.0,6,48,0.0
1,0.14285714285714285,6,48,1.0
2,0.2857142857142857,6,48,0.0
3,0.42857142857142855,6,48,0.0
4,0.5714285714285714,6,48,0.0
5,0.7142857142857143,6,48,0.0
6,0.8571428571428571,6,48,0.0
7,1.0,6,48,0.0
0,0.0,7,49,0.0
1,0.14285714285714285,7,49,1.0
2,0.2857142857142857,7,49,0.0
3,0.42857142857142855,7,49,1.0
4,0.5714285714285714,7,49,0.0
5,0.7142857142857143,7,49,0.0
6,0.8571428571428571,7,49,1.0
7,1.0,7,49,0.0
0,0.0,8,50,0.0
1,0.14285714285714285,8,50,0.0
2,0.2857142857142857,8,50,1.0
3,0.42857142857142855,8,50,1.0
4,0.5714285714285714,8,50,0.0
5,0.7142857142857143,8,50,1.0
6,0.8571428571428571,8,50,1.0
7,1.0,8,50,0.0
0,0.0,9,51,0.0
1,0.14285714285714285,9,51,0.0
2,0.2857142857142857,9,51,1.0
3,0.42857142857142855,9,51,0.0
4,0.5714285714285714,9,51,1.0
5,0.7142857142857143,9,51,0.0
6,0.8571428571428571,9,51,0.0
7,1.0,9,51,1.0
0,0.0,10,52,1.0
1,0.14285714285714285,10,52,0.0
2,0.2857142857142857,10,52,0.0
3,0.42857142857142855,10,52,0.0
4,0.5714285714285714,10,52,0.0
5,0.7142857142857143,10,52,0.0
6,0.8571428571428571,10,52,0.0
7,1.0,10,52,0.0
0,0.0,11,53,0.0
1,0.14285714285714285,11,53,0.0
2,0.2857142857142857,11,53,1.0
3,0.42857142857142855,11,53,0.0
4,0.5714285714285714,11,53,0.0
5,0.7142857142857143,11,53,0.0
6,0.8571428571428571,11,53,1.0
7,1.0,11,53,0.0
0,0.0,12,54,0.0
1,0.14285714285714285,12,54,1.0
2,0.2857142857142857,12,54,0.0
3,0.42857142857142855,12,54,0.0
4,0.5714285714285714,12,54,0.0
5,0.7142857142857143,12,54,1.0
6,0.8571428571428571,12,54,0.0
7,1.0,12,54,0.0
0,0.0,13,55,0.0
1,0.14285714285714285,13,55,0.0
2,0.2857142857142857,13,55,0.0
3,0.42857142857142855,13,55,0.0
4,0.5714285714285714,13,55,0.0
5,0.7142857142857143,13,55,0.0
6,0.8571428571428571,13,55,1.0
7,1.0,13,55,0.0
0,0.0,14,56,0.0
1,0.14285714285714285,14,56,1.0
2,0.2857142857142857,14,56,0.0
3,0.42857142857142855,14,56,0.0
4,0.5714285714285714,14,56,1.0
5,0.7142857142857143,14,56,0.0
6,0.8571428571428571,14,56,0.0
7,1.0,14,56,0.0
0,0.0,15,57,1.0
1,0.14285714285714285,15,57,0.0
2,0.2857142857142857,15,57,0.0
3,0.42857142857142855,15,57,1.0
