N,position_frac,dim,trials,accuracy,retrieval_error_mean,state_norm_mean,state_magnitude_mean,runtime_s,precision,feature_map,experiment
128,0.1,16,10,1.0,0.989756580243992,4.516047782370201,43.08698391525559,0.03526350000174716,float64,elu+1,context_length
128,0.5,16,10,1.0,0.989756580243992,4.516047782370201,43.08698391525559,0.0375171999912709,float64,elu+1,context_length
128,0.9,16,10,1.0,0.989756580243992,4.516047782370203,43.08698391525559,0.035482000006595626,float64,elu+1,context_length
512,0.1,16,10,1.0,0.997582727329247,6.209890280840755,73.5348603437139,0.13342400002875365,float64,elu+1,context_length
512,0.5,16,10,1.0,0.997582727329247,6.209890280840755,73.5348603437139,0.1314501999586355,float64,elu+1,context_length
512,0.9,16,10,1.0,0.997582727329247,6.209890280840755,73.5348603437139,0.1487608999304939,float64,elu+1,context_length
1024,0.1,16,10,0.8,0.9987198470665378,7.8286383096254415,96.7986146756432,0.28405319998273626,float64,elu+1,context_length
1024,0.5,16,10,0.8,0.9987198470665378,7.8286383096254415,96.7986146756432,0.2733659999794327,float64,elu+1,context_length
1024,0.9,16,10,0.8,0.9987198470665378,7.828638309625442,96.7986146756432,0.27774649995262735,float64,elu+1,context_length
4096,0.1,16,10,0.2,0.9997373833068874,15.052650342830395,193.09746844725186,1.078057800012175,float64,elu+1,context_length
4096,0.5,16,10,0.2,0.9997373833068874,15.052650342830399,193.09746844725186,1.0634488000359852,float64,elu+1,context_length
4096,0.9,16,10,0.2,0.9997373833068874,15.052650342830395,193.09746844725188,1.077219599916134,float64,elu+1,context_length
