timestep,precision,update_magnitude,state_magnitude,effective_change,relative_change,ineffective,ineffective_cumulative,dim
0,float64,1.0,2.3454400389417422,2.3454400389417422,2.345440038941742e+300,False,0,8
1,float64,0.5,3.5181600584126134,1.1727200194708711,0.5,False,0,8
2,float64,0.25,4.104520068148049,0.5863600097354353,0.16666666666666666,False,0,8
3,float64,0.125,4.397700073015766,0.29318000486771784,0.07142857142857131,False,0,8
4,float64,0.0625,4.544290075449625,0.14659000243385895,0.03333333333333339,False,0,8
5,float64,0.03125,4.617585076666555,0.07329500121692926,0.01612903225806454,False,0,8
6,float64,0.015625,4.65423257727502,0.03664750060846482,0.007936507936508045,False,0,8
7,float64,0.0078125,4.672556327579253,0.018323750304232223,0.003937007874015802,False,0,8
8,float64,0.00390625,4.681718202731369,0.009161875152116278,0.0019607843137254216,False,0,8
9,float64,0.001953125,4.686299140307426,0.004580937576058083,0.0009784735812131782,False,0,8
10,float64,0.0009765625,4.688589609095455,0.0022904687880289376,0.0004887585532747127,False,0,8
11,float64,0.00048828125,4.68973484348947,0.001145234394014677,0.00024425989252566246,False,0,8
12,float64,0.000244140625,4.690307460686477,0.000572617197007283,0.0001221001221001297,False,0,8
13,float64,0.0001220703125,4.69059376928498,0.0002863085985037317,6.104260774011176e-05,False,0,8
14,float64,6.103515625e-05,4.690736923584232,0.00014315429925175482,3.0519440883892244e-05,False,0,8
15,float64,3.0517578125e-05,4.6908085007338585,7.157714962574557e-05,1.5259254738023214e-05,False,0,8
16,float64,1.52587890625e-05,4.6908442893086715,3.57885748129283e-05,7.629510948360518e-06,False,0,8
17,float64,7.62939453125e-06,4.690862183596078,1.789428740651966e-05,3.814726369683657e-06,False,0,8
18,float64,3.814697265625e-06,4.690871130739781,8.947143703363913e-06,1.9073559088009466e-06,False,0,8
19,float64,1.9073486328125e-06,4.690875604311634,4.473571851709712e-06,9.536761355900033e-07,False,0,8
20,float64,9.5367431640625e-07,4.690877841097559,2.236785925729956e-06,4.768376128570078e-07,False,0,8
21,float64,4.76837158203125e-07,4.690878959490522,1.1183929629760003e-06,2.384186928361744e-07,False,0,8
22,float64,2.384185791015625e-07,4.690879518687003,5.591964813561612e-07,1.1920931790168667e-07,False,0,8
23,float64,1.1920928955078125e-07,4.690879798285244,2.795982406433861e-07,5.960465184541343e-08,False,0,8
24,float64,5.960464477539063e-08,4.690879938084364,1.397991202661819e-07,2.980232405167879e-08,False,0,8
25,float64,2.9802322387695312e-08,4.690880007983925,6.989956034819667e-08,1.4901161771091686e-08,False,0,8
26,float64,1.4901161193847656e-08,4.6908800429337045,3.4949780250426166e-08,7.450580679852767e-09,False,0,8
27,float64,7.450580596923828e-09,4.6908800604085945,1.747488986847401e-08,3.725290312170807e-09,False,0,8
28,float64,3.725290298461914e-09,4.69088006914604,8.737444989748155e-09,1.8626452438172763e-09,False,0,8
29,float64,1.862645149230957e-09,4.690880073514762,4.368722619774168e-09,9.313225255031482e-10,False,0,8
30,float64,9.313225746154785e-10,4.690880075699123,2.184361386214917e-09,4.656612623178933e-10,False,0,8
31,float64,4.656612873077393e-10,4.690880076791304,1.0921804155517023e-09,2.3283063105052646e-10,False,0,8
32,float64,2.3283064365386963e-10,4.690880077337394,5.460902979814719e-10,1.1641531549815818e-10,False,0,8
33,float64,1.1641532182693481e-10,4.69088007761044,2.7304532246308355e-10,5.820775241306876e-11,False,0,8
34,float64,5.820766091346741e-11,4.690880077746963,1.3652258490370883e-10,2.910387620484031e-11,False,0,8
35,float64,2.9103830456733704e-11,4.690880077815223,6.826124387959709e-11,1.4551654089698844e-11,False,0,8
36,float64,1.4551915228366852e-11,4.690880077849354,3.413061500090464e-11,7.276016386275405e-12,False,0,8
37,float64,7.275957614183426e-12,4.690880077866419,1.7065210355937666e-11,3.638008193111233e-12,False,0,8
38,float64,3.637978807091713e-12,4.690880077874952,8.532535789029794e-12,1.819004096548999e-12,False,0,8
39,float64,1.8189894035458565e-12,4.690880077879218,4.266462183544206e-12,9.094073775069168e-13,False,0,8
40,float64,9.094947017729282e-13,4.690880077881351,2.1332796640294305e-12,4.54798359518973e-13,False,0,8
41,float64,4.547473508864641e-13,4.690880077882419,1.0666328931208113e-12,2.275885212912394e-13,False,0,8
42,float64,2.2737367544323206e-13,4.690880077882952,5.332678743030783e-13,1.1360491911373757e-13,False,0,8
43,float64,1.1368683772161603e-13,4.690880077883218,2.666894483027704e-13,5.680245955686233e-14,False,0,8
44,float64,5.684341886080802e-14,4.690880077883351,1.3328227410625004e-13,2.8401229778429552e-14,False,0,8
45,float64,2.842170943040401e-14,4.690880077883419,6.671052599216409e-14,1.4389956421070564e-14,False,0,8
46,float64,1.4210854715202004e-14,4.690880077883451,3.3112401709445294e-14,6.8162951468228004e-15,False,0,8
47,float64,7.105427357601002e-15,4.6908800778834685,1.672273430841642e-14,3.786830637123752e-15,False,0,8
48,float64,3.552713678800501e-15,4.6908800778834765,8.368306048112117e-15,1.7040737867056822e-15,False,0,8
49,float64,1.7763568394002505e-15,4.690880077883481,4.0245584642661925e-15,9.46707659280933e-16,False,0,8
50,float64,8.881784197001252e-16,4.690880077883483,2.2343238370581275e-15,3.786830637123728e-16,False,0,8
51,float64,4.440892098500626e-16,4.690880077883484,9.020562075079397e-16,1.8934153185618631e-16,False,0,8
52,float64,2.220446049250313e-16,4.6908800778834845,7.355227538141662e-16,1.893415318561863e-16,False,0,8
53,float64,1.1102230246251565e-16,4.6908800778834845,0.0,0.0,True,1,8
54,float64,5.551115123125783e-17,4.6908800778834845,0.0,0.0,True,2,8
55,float64,2.7755575615628914e-17,4.6908800778834845,0.0,0.0,True,3,8
56,float64,1.3877787807814457e-17,4.6908800778834845,0.0,0.0,True,4,8
57,float64,6.938893903907228e-18,4.6908800778834845,0.0,0.0,True,5,8
58,float64,3.469446951953614e-18,4.6908800778834845,0.0,0.0,True,6,8
59,float64,1.734723475976807e-18,4.6908800778834845,0.0,0.0,True,7,8
0,float32,1.0,2.3454400300979614,2.3454400300979614,2.3454400300979615e+300,False,0,8
1,float32,0.5,3.518159970641136,1.1727199405431747,0.4999999682337621,False,0,8
2,float32,0.25,4.104519866406918,0.5863598957657814,0.16666663843001017,False,0,8
3,float32,0.125,4.3976998925209045,0.29318002611398697,0.07142858011566545,False,0,8
4,float32,0.0625,4.544289954006672,0.14659006148576736,0.03333334812934158,False,0,8
5,float32,0.03125,4.6175849586725235,0.07329500466585159,0.016129033448058886,False,0,8
6,float32,0.015625,4.654232434928417,0.03664747625589371,0.007936502865434928,False,0,8
7,float32,0.0078125,4.672556169331074,0.018323734402656555,0.0039370045778425716,False,0,8
8,float32,0.00390625,4.681717984378338,0.009161815047264099,0.0019607715167554015,False,0,8
9,float32,0.001953125,4.686298854649067,0.004580870270729065,0.0009784592506456443,False,0,8
10,float32,0.0009765625,4.68858939409256,0.0022905394434928894,0.0004887736600965062,False,0,8
11,float32,0.00048828125,4.689734689891338,0.001145295798778534,0.00024427300036585886,False,0,8
12,float32,0.000244140625,4.690307334065437,0.0005726441740989685,0.00012210587846969159,False,0,8
13,float32,0.0001220703125,4.690593630075455,0.000286296010017395,6.103992545180212e-05,False,0,8
14,float32,6.103515625e-05,4.690736807882786,0.0001431778073310852,3.052445353889716e-05,False,0,8
15,float32,3.0517578125e-05,4.690808363258839,7.155537605285645e-05,1.5254613290732406e-05,False,0,8
16,float32,1.52587890625e-05,4.690844178199768,3.581494092941284e-05,7.635131976385235e-06,False,0,8
17,float32,7.62939453125e-06,4.690861955285072,1.7777085304260254e-05,3.789741170017433e-06,False,0,8
18,float32,3.814697265625e-06,4.690870933234692,8.977949619293213e-06,1.91392322026829e-06,False,0,8
19,float32,1.9073486328125e-06,4.690875425934792,4.492700099945068e-06,9.577539360792068e-07,False,0,8
20,float32,9.5367431640625e-07,4.690877586603165,2.16066837310791e-06,4.6061090455782783e-07,False,0,8
21,float32,4.76837158203125e-07,4.690878786146641,1.1995434761047363e-06,2.557183499161336e-07,False,0,8
22,float32,2.384185791015625e-07,4.69087927043438,4.842877388000488e-07,1.0324030120545297e-07,False,0,8
23,float32,1.1920928955078125e-07,4.690879665315151,3.948807716369629e-07,8.418054459977534e-08,False,0,8
24,float32,5.960464477539063e-08,4.690879665315151,0.0,0.0,True,1,8
25,float32,2.9802322387695312e-08,4.690879665315151,0.0,0.0,True,2,8
26,float32,1.4901161193847656e-08,4.690879665315151,0.0,0.0,True,3,8
27,float32,7.450580596923828e-09,4.690879665315151,0.0,0.0,True,4,8
28,float32,3.725290298461914e-09,4.690879665315151,0.0,0.0,True,5,8
29,float32,1.862645149230957e-09,4.690879665315151,0.0,0.0,True,6,8
30,float32,9.313225746154785e-10,4.690879665315151,0.0,0.0,True,7,8
31,float32,4.656612873077393e-10,4.690879665315151,0.0,0.0,True,8,8
32,float32,2.3283064365386963e-10,4.690879665315151,0.0,0.0,True,9,8
33,float32,1.1641532182693481e-10,4.690879665315151,0.0,0.0,True,10,8
34,float32,5.820766091346741e-11,4.690879665315151,0.0,0.0,True,11,8
35,float32,2.9103830456733704e-11,4.690879665315151,0.0,0.0,True,12,8
36,float32,1.4551915228366852e-11,4.690879665315151,0.0,0.0,True,13,8
37,float32,7.275957614183426e-12,4.690879665315151,0.0,0.0,True,14,8
38,float32,3.637978807091713e-12,4.690879665315151,0.0,0.0,True,15,8
39,float32,1.8189894035458565e-12,4.690879665315151,0.0,0.0,True,16,8
40,float32,9.094947017729282e-13,4.690879665315151,0.0,0.0,True,17,8
41,float32,4.547473508864641e-13,4.690879665315151,0.0,0.0,True,18,8
42,float32,2.2737367544323206e-13,4.690879665315151,0.0,0.0,True,19,8
43,float32,1.1368683772161603e-13,4.690879665315151,0.0,0.0,True,20,8
44,float32,5.684341886080802e-14,4.690879665315151,0.0,0.0,True,21,8
45,float32,2.842170943040401e-14,4.690879665315151,0.0,0.0,True,22,8
46,float32,1.4210854715202004e-14,4.690879665315151,0.0,0.0,True,23,8
47,float32,7.105427357601002e-15,4.690879665315151,0.0,0.0,True,24,8
48,float32,3.552713678800501e-15,4.690879665315151,0.0,0.0,True,25,8
49,float32,1.7763568394002505e-15,4.690879665315151,0.0,0.0,True,26,8
50,float32,8.881784197001252e-16,4.690879665315151,0.0,0.0,True,27,8
51,float32,4.440892098500626e-16,4.690879665315151,0.0,0.0,True,28,8
52,float32,2.220446049250313e-16,4.690879665315151,0.0,0.0,True,29,8
53,float32,1.1102230246251565e-16,4.690879665315151,0.0,0.0,True,30,8
54,float32,5.551115123125783e-17,4.690879665315151,0.0,0.0,True,31,8
55,float32,2.7755575615628914e-17,4.690879665315151,0.0,0.0,True,32,8
56,float32,1.3877787807814457e-17,4.690879665315151,0.0,0.0,True,33,8
57,float32,6.938893903907228e-18,4.690879665315151,0.0,0.0,True,34,8
58,float32,3.469446951953614e-18,4.690879665315151,0.0,0.0,True,35,8
59,float32,1.734723475976807e-18,4.690879665315151,0.0,0.0,True,36,8
0,float16,1.0,2.345550537109375,2.345550537109375,2.3455505371093749e+300,False,0,8
1,float16,0.5,3.5184326171875,1.172882080078125,0.5000455379330982,False,0,8
2,float16,0.25,4.1043701171875,0.5859375,0.16653367102661068,False,0,8
3,float16,0.125,4.39776611328125,0.29339599609375,0.07148380572822176,False,0,8
4,float16,0.0625,4.54339599609375,0.1456298828125,0.03311451292798357,False,0,8
5,float16,0.03125,4.616943359375,0.07354736328125,0.016187751044479372,False,0,8
6,float16,0.015625,4.65374755859375,0.03680419921875,0.007971550949183016,False,0,8
7,float16,0.0078125,4.67144775390625,0.0177001953125,0.0038034283316064894,False,0,8
8,float16,0.00390625,4.6812744140625,0.00982666015625,0.0021035577563792676,False,0,8
9,float16,0.001953125,4.68524169921875,0.00396728515625,0.0008474797256773319,False,0,8
10,float16,0.0009765625,4.6884765625,0.00323486328125,0.0006904367989786747,False,0,8
11,float16,0.00048828125,4.6884765625,0.0,0.0,True,1,8
12,float16,0.000244140625,4.6884765625,0.0,0.0,True,2,8
13,float16,0.0001220703125,4.6884765625,0.0,0.0,True,3,8
14,float16,6.103515625e-05,4.6884765625,0.0,0.0,True,4,8
15,float16,3.0517578125e-05,4.6884765625,0.0,0.0,True,5,8
16,float16,1.52587890625e-05,4.6884765625,0.0,0.0,True,6,8
