m,dim,trials,feature_map,precision,linear_mean,linear_std,softmax_mean,softmax_std,state_norm_mean,runtime_s,experiment
2,16,15,elu+1,float64,1.0,0.0,1.0,0.0,7.962851979550726,0.017549999989569187,featuremap_compare
4,16,15,elu+1,float64,0.6666666666666666,0.24397501823713327,1.0,0.0,11.317430532675623,0.01540720000048168,featuremap_compare
8,16,15,elu+1,float64,0.325,0.1479019945774904,0.9916666666666667,0.03227486121839514,16.21532500983651,0.024891799985198304,featuremap_compare
16,16,15,elu+1,float64,0.09166666666666666,0.0521130867395495,0.9791666666666666,0.030496877279641666,23.012346368968142,0.04294869999284856,featuremap_compare
32,16,15,elu+1,float64,0.03958333333333333,0.014304303381783234,0.4666666666666667,0.03436823526511211,41.930714138008746,0.0963499000063166,featuremap_compare
64,16,15,elu+1,float64,0.01875,0.006469364618834571,0.196875,0.026934112730354207,78.29299783899454,0.2447567000053823,featuremap_compare
128,16,15,elu+1,float64,0.008333333333333333,0.0020171788261496965,0.08697916666666666,0.011762072698579389,152.43436567136536,0.7248679999902379,featuremap_compare
2,32,15,elu+1,float64,0.9666666666666667,0.12909944487358058,1.0,0.0,11.262824756952423,0.01184849999845028,featuremap_compare
4,32,15,elu+1,float64,0.8333333333333334,0.2041241452319315,1.0,0.0,16.257840815382853,0.004717699979664758,featuremap_compare
8,32,15,elu+1,float64,0.26666666666666666,0.10422617347909899,1.0,0.0,23.075451622815912,0.015631999995093793,featuremap_compare
16,32,15,elu+1,float64,0.11666666666666667,0.06190190011700156,1.0,0.0,32.49823033702409,0.03393299999879673,featuremap_compare
32,32,15,elu+1,float64,0.04375,0.019764235376052375,1.0,0.0,44.958305119928575,0.07824539998546243,featuremap_compare
64,32,15,elu+1,float64,0.019791666666666666,0.009275263120385367,0.5260416666666666,0.024822659698827798,82.05504481672695,0.2635048999800347,featuremap_compare
128,32,15,elu+1,float64,0.008333333333333333,0.0020171788261496965,0.2520833333333333,0.016298719320489423,157.14691896197553,0.8354575999837834,featuremap_compare
2,16,15,relu,float64,1.0,0.0,1.0,0.0,3.9048164185381746,0.01595860000816174,featuremap_compare
4,16,15,relu,float64,0.9,0.20701966780270628,1.0,0.0,5.673755098236216,0.0049125000077765435,featuremap_compare
8,16,15,relu,float64,0.7333333333333333,0.14068285846778444,0.9916666666666667,0.03227486121839514,8.182403602583063,0.014770000008866191,featuremap_compare
16,16,15,relu,float64,0.275,0.14523687548277814,0.9791666666666666,0.030496877279641666,11.76402821121126,0.026235400000587106,featuremap_compare
32,16,15,relu,float64,0.06875,0.042912910145349696,0.4666666666666667,0.03436823526511211,18.742020342970875,0.0712096999923233,featuremap_compare
64,16,15,relu,float64,0.03125,0.014465939058946116,0.196875,0.026934112730354207,31.502142157112058,0.18954000002122484,featuremap_compare
128,16,15,relu,float64,0.010416666666666666,0.005654272378560514,0.08697916666666666,0.011762072698579389,57.15524271371222,0.698133300000336,featuremap_compare
2,32,15,relu,float64,1.0,0.0,1.0,0.0,5.592664401718952,0.009065400023246184,featuremap_compare
4,32,15,relu,float64,1.0,0.0,1.0,0.0,8.21651690920888,0.006223500007763505,featuremap_compare
8,32,15,relu,float64,0.8166666666666667,0.15574322579474326,1.0,0.0,11.830752590818141,0.015066700027091429,featuremap_compare
16,32,15,relu,float64,0.4041666666666667,0.18124486856447103,1.0,0.0,16.37639835762659,0.033594599983189255,featuremap_compare
32,32,15,relu,float64,0.07291666666666667,0.048219796863153724,1.0,0.0,22.64759932705697,0.06828320000204258,featuremap_compare
64,32,15,relu,float64,0.028125,0.017912859506909715,0.5260416666666666,0.024822659698827798,36.54138260539063,0.2488731000048574,featuremap_compare
128,32,15,relu,float64,0.011979166666666667,0.007152151690891616,0.2520833333333333,0.016298719320489423,63.544622000521365,0.8165980000048876,featuremap_compare
2,16,15,exp,float64,0.9,0.20701966780270628,1.0,0.0,14.683134140496621,0.011250899988226593,featuremap_compare
4,16,15,exp,float64,0.75,0.25,1.0,0.0,21.43314466514627,0.004796399996848777,featuremap_compare
8,16,15,exp,float64,0.5583333333333333,0.14840420992616593,0.9916666666666667,0.03227486121839514,30.645652428104327,0.01457459997618571,featuremap_compare
16,16,15,exp,float64,0.19583333333333333,0.09701650571398858,0.9791666666666666,0.030496877279641666,44.2454772988013,0.03342100000008941,featuremap_compare
32,16,15,exp,float64,0.052083333333333336,0.02261708951424206,0.4666666666666667,0.03436823526511211,72.4832850912841,0.0692877999972552,featuremap_compare
64,16,15,exp,float64,0.027083333333333334,0.015017970386300858,0.196875,0.026934112730354207,127.1343108230478,0.21383019999484532,featuremap_compare
128,16,15,exp,float64,0.009375,0.005282214092053228,0.08697916666666666,0.011762072698579389,233.4567406551237,0.809187299979385,featuremap_compare
2,32,15,exp,float64,0.9333333333333333,0.17593288763724918,1.0,0.0,20.34163370619427,0.006938700011232868,featuremap_compare
4,32,15,exp,float64,0.9,0.158113883008419,1.0,0.0,30.610222575417193,0.011343299993313849,featuremap_compare
8,32,15,exp,float64,0.5416666666666666,0.18093671611393647,1.0,0.0,44.73781003501095,0.0416741999797523,featuremap_compare
16,32,15,exp,float64,0.275,0.1267731382092775,1.0,0.0,61.59083832039458,0.04826019998290576,featuremap_compare
32,32,15,exp,float64,0.075,0.055147934166722354,1.0,0.0,88.23871186209185,0.15196730001480319,featuremap_compare
64,32,15,exp,float64,0.021875,0.009882117688026186,0.5260416666666666,0.024822659698827798,145.2509401515587,0.34946249998756684,featuremap_compare
128,32,15,exp,float64,0.009895833333333333,0.0035760758454458086,0.2520833333333333,0.016298719320489423,253.7778870860793,0.8431032999942545,featuremap_compare
