window,N,dim,position_frac,trials,accuracy,std,experiment
0,1024,16,0.1,8,0.875,0.3535533905932738,hybrid_window
0,1024,16,0.9,8,0.875,0.3535533905932738,hybrid_window
8,1024,16,0.1,8,0.875,0.3535533905932738,hybrid_window
8,1024,16,0.9,8,0.875,0.3535533905932738,hybrid_window
32,1024,16,0.1,8,0.875,0.3535533905932738,hybrid_window
32,1024,16,0.9,8,0.875,0.3535533905932738,hybrid_window
128,1024,16,0.1,8,0.875,0.3535533905932738,hybrid_window
128,1024,16,0.9,8,1.0,0.0,hybrid_window
1024,1024,16,0.1,8,1.0,0.0,hybrid_window
1024,1024,16,0.9,8,1.0,0.0,hybrid_window
